check,beta_3,ci_lower,ci_upper,p_value,dropped_household,minimum,maximum,median,iqr,proportion_negative,proportion_ci_excludes_zero,completed_sensitivity_runs,stability
leave_one_remittance_plus_shock_household,-0.5495321190100229,-1.0606663622650014,-0.038397875755044386,0.035100063151319194,c8ed4f458ee1ed9589329e2d,,,,,,,,
leave_one_remittance_plus_shock_household,-0.500125301874803,-1.0053732848995822,0.00512268114997616,0.05236850779100077,9fa4018ec99674ae85a7af64,,,,,,,,
leave_one_remittance_plus_shock_household,-0.6119255489784617,-1.1032993067527528,-0.12055179120417064,0.014654192762311169,5189814da2e5cc1cf2b30350,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5215378233847875,-1.031740490685177,-0.011335156084398057,0.04512274252267434,9bbcb2bae55fcabbe0ca041f,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5301302584511862,-1.0412445386437814,-0.019015978258591026,0.04206421001773819,637e65b8523e97cee6399e26,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5472691246050662,-1.0584674562944658,-0.036070792915666505,0.03588205223609364,c839e1dac4906865aa0e0256,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5276146751670477,-1.0384405493467552,-0.016788800987340147,0.04293105230216221,22d532d43f4f77151c6b9f8a,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5259525316960234,-1.0366097774974088,-0.015295285894638022,0.04352162025356954,7c746f7d7f59e13b9d6bc868,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5462977678424638,-1.0579799975724287,-0.034615538112498734,0.03638876767942323,ee3d51acca46f803539742e3,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5120341161008294,-1.0314837465457178,0.007415514344059182,0.0533614684865269,8a22cc927796ffa18f9a9f4b,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5956741070799219,-1.0954895355453682,-0.09585867861447545,0.019498442316619347,44781e029867bc5a7cbdc1f5,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5958930272541196,-1.0953339091609957,-0.09645214534724356,0.01936273979431613,b77df380bb3ce583478055fe,,,,,,,,
leave_one_remittance_plus_shock_household,-0.5269054502014264,-1.037521131321655,-0.016289769081197836,0.04312563503692446,534e4dbe229dab15b2a64db8,,,,,,,,
leave_one_remittance_plus_shock_household,-0.6676261298628331,-1.112569917551754,-0.22268234217391214,0.003272886959241994,0775f10acfb9ebfab8e602a3,,,,,,,,
leave_one_remittance_plus_shock_household,-0.524736166319497,-1.0352233223415508,-0.014249010297443299,0.0439390673603246,cd10a7daab6b2531c563ffe5,,,,,,,,
