model_id,term,coefficient,clustered_se,ci_lower,ci_upper,p_value,observations,clusters,r_squared,weight_status,fixed_effects
KG_M3,lik_household_size,-0.00841653727473607,0.029378638462032508,-0.06599761057514299,0.04916453602567085,0.7745067317364165,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,kg_child_present,0.3306426524138182,0.16583076193885354,0.005620331484829655,0.6556649733428067,0.04616779839660112,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,residence,0.05401334935446294,0.18587445615785692,-0.3102938903609059,0.41832058906983177,0.7713645339959523,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,lik_migrant_household,0.5685126344613084,0.3827473388536849,-0.18165836487046205,1.318683633793079,0.13745191171012539,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[2.0],-0.4109440397835559,0.24170909291263099,-0.8846851566281583,0.06279707706104642,0.08910090518663161,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[3.0],-0.47660119565662323,0.26277829110737166,-0.9916371821460537,0.03843479083280715,0.06972380253281196,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[4.0],-0.612192328570621,0.29120837359657303,-1.182950252816389,-0.041434404324853014,0.03553152473167431,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[5.0],-1.3161281438073271,0.413479672219586,-2.126533409697142,-0.5057228779175119,0.0014573040946808113,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[6.0],-0.8690511166839335,0.78767791135858,-2.4128714543644834,0.6747692209966164,0.2698935572957164,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[7.0],-0.3141363662394255,0.5195647452062939,-1.3324645544804912,0.7041918220016403,0.5454351858008808,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[8.0],-0.4368811572676833,0.38614514433978514,-1.1937117329786828,0.31994941844331626,0.2578905401447136,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[9.0],-0.24445502918721862,0.5408762917459188,-1.3045530811007984,0.815643022726361,0.6512970258345228,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[10.0],-0.6421341729141009,0.7022139503585625,-2.0184482250584805,0.7341798792302788,0.36048445888795966,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,h104[11.0],-1.2839557780901054,0.5639099405217559,-2.389198952036871,-0.17871260414333978,0.022793338205436164,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[3],1.392346820199126,0.25138416510684297,0.8996429103060433,1.8850507300922088,3.046881302815052e-08,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[4],-0.13450980745688457,0.17273496614899778,-0.47306411997966563,0.2040445050658965,0.4361527404184251,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[5],0.6736770605068308,0.24732714682147686,0.18892476033768613,1.1584293606759757,0.006452974569772341,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[6],1.481186994624243,0.20668500652069968,1.0760918256992456,1.8862821635492406,7.700506898800086e-13,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[7],0.9330123157389326,0.3215664912644861,0.302753574225626,1.5632710572522392,0.0037142818095268204,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[8],0.4709664135006231,0.1609921002637051,0.15542769518829974,0.7865051318129466,0.0034401287339256292,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[11],0.2508712408313281,0.21026075398520663,-0.1612322643419135,0.6629747460045697,0.23281319837867676,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,oblast[21],1.3523567078773773,0.3170610407823749,0.7309284870431372,1.9737849287116174,1.9964434907482342e-05,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[2.0],-8.98048595837987,0.3668366980341046,-9.69947267473431,-8.26149924202543,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[3.0],-8.316074315697652,0.2703737927128856,-8.845997211778405,-7.786151419616898,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[4.0],-7.870801446685153,0.20735358996379072,-8.277207015079268,-7.464395878291037,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[5.0],-8.448154851645361,0.2855864493262887,-9.00789400679756,-7.888415696493162,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[6.0],-8.39151525557379,0.272201525723662,-8.92502044252902,-7.858010068618559,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[7.0],-8.430806208322466,0.22719841862586804,-8.876106926173621,-7.98550549047131,0.0,1498,949,0.1075157158397706,unweighted,oblast fixed effects
KG_M3,i218[8.0],-1.1927782343431694,0.3834728651280692,-1.9443712390425707,-0.44118522964376816,0.0018679417091709283,1498,949,0.1075157158397706,unweighted,oblast fixed effects
